state,wage,effective_date,end_date,notes
Alabama,7.25,2025-09-03,,Paycor scraped
Alaska,13.0,2025-09-03,,Paycor scraped
Arizona,14.7,2025-09-03,,Paycor scraped
California,20.0,2025-09-03,,Paycor scraped
Colorado,14.81,2025-09-03,,Paycor scraped
Connecticut,16.35,2025-09-03,,Paycor scraped
Delaware,15.0,2025-09-03,,Paycor scraped
Florida,14.0,2025-09-03,,Paycor scraped
Georgia,7.25,2025-09-03,,Paycor scraped
Hawaii,14.0,2025-09-03,,Paycor scraped
Idaho,7.25,2025-09-03,,Paycor scraped
Illinois,14.0,2025-09-03,,Paycor scraped
Indiana,7.25,2025-09-03,,Paycor scraped
Iowa,7.25,2025-09-03,,Paycor scraped
Kansas,7.25,2025-09-03,,Paycor scraped
Kentucky,7.25,2025-09-03,,Paycor scraped
Louisiana,7.25,2025-09-03,,Paycor scraped
Maine,14.65,2025-09-03,,Paycor scraped
Maryland,15.0,2025-09-03,,Paycor scraped
Massachusetts,15.0,2025-09-03,,Paycor scraped
Michigan,10.56,2025-09-03,,Paycor scraped
Minnesota,11.13,2025-09-03,,Paycor scraped
Mississippi,7.25,2025-09-03,,Paycor scraped
Missouri,13.75,2025-09-03,,Paycor scraped
Montana,4.0,2025-09-03,,Paycor scraped
Nebraska,13.5,2025-09-03,,Paycor scraped
Nevada,12.0,2025-09-03,,Paycor scraped
New Hampshire,7.25,2025-09-03,,Paycor scraped
New Jersey,15.49,2025-09-03,,Paycor scraped
New Mexico,12.0,2025-09-03,,Paycor scraped
New York,16.5,2025-09-03,,Paycor scraped
North Carolina,7.25,2025-09-03,,Paycor scraped
North Dakota,7.25,2025-09-03,,Paycor scraped
Ohio,10.7,2025-09-03,,Paycor scraped
Oklahoma,2.0,2025-09-03,,Paycor scraped
Oregon,15.95,2025-09-03,,Paycor scraped
Pennsylvania,7.25,2025-09-03,,Paycor scraped
Rhode Island,15.0,2025-09-03,,Paycor scraped
South Carolina,7.25,2025-09-03,,Paycor scraped
South Dakota,11.5,2025-09-03,,Paycor scraped
Tennessee,7.25,2025-09-03,,Paycor scraped
Texas,7.25,2025-09-03,,Paycor scraped
Utah,7.25,2025-09-03,,Paycor scraped
Vermont,14.01,2025-09-03,,Paycor scraped
Virginia,8.75,2025-09-03,,Paycor scraped
Washington,16.66,2025-09-03,,Paycor scraped
Wisconsin,7.25,2025-09-03,,Paycor scraped
Wyoming,5.15,2025-09-03,,Paycor scraped
